初句,二句,三句,四句,結句,感情:嬉しい,感情:面白い,感情:穏やか,感情:しみじみ,感情:寂しい,感情:怒り,初句の音節数,二句の音節数,三句の音節数,四句の音節数,五句の音節数,合計音節数,タグ:日常,タグ:人間関係,タグ:仕事,タグ:人生,タグ:家族,タグ:恋愛,タグ:旅行,タグ:自然,タグ:時事
海へ行く,みたいに自転車,こいでゆく,ドラッグストアにも,ちょっとある海,4.5,3.5,7.75,4.5,2,1,,,,,,,1,0,0,0,0,0,1,1,0
,,,,山本,6,7,6,6,1,1,,,,,,,,,,,,,,,
,,,,海原,5,2,8,3,2,1,,,,,,,,,,,,,,,
,,,,山下,4,3,9,2,1,1,,,,,,,,,,,,,,,
,,,,大氏,3,2,8,7,4,1,,,,,,,,,,,,,,,
あきまへん、,大型店に,囲まれて,店を閉じます、,親父よ御免,1,3.75,1.5,5.25,8.75,6,,,,,,,0,0,1,0,0,0,0,0,0
,,,,山本,1,1,1,3,7,7,,,,,,,,,,,,,,,
,,,,海原,1,1,2,6,10,8,,,,,,,,,,,,,,,
,,,,山下,1,3,2,6,9,1,,,,,,,,,,,,,,,
,,,,大氏,1,10,1,6,9,8,,,,,,,,,,,,,,,
玄関を,閉めた閉めない,閉めたはず,動詞活用,みたいな朝,2.25,9,3.75,1.75,1,2.75,,,,,,,1,0,0,0,0,0,0,0,0
,,,,山本,3,9,1,1,1,6,,,,,,,,,,,,,,,
,,,,海原,3,7,4,1,1,1,,,,,,,,,,,,,,,
,,,,山下,1,10,3,1,1,1,,,,,,,,,,,,,,,
,,,,大氏,2,10,7,4,1,3,,,,,,,,,,,,,,,
再婚の,意味を知る子と,知らぬ子が,砂のトンネル,開通させる,2.75,7,2.75,3.5,1,1,,,,,,,1,1,0,0,1,0,0,0,0
,,,,山本,1,8,1,1,1,1,,,,,,,,,,,,,,,
,,,,海原,6,4,2,2,1,1,,,,,,,,,,,,,,,
,,,,山下,3,8,4,7,1,1,,,,,,,,,,,,,,,
,,,,大氏,1,8,4,4,1,1,,,,,,,,,,,,,,,
嫁ぐ朝,父にもらいし,花鋏,五十年たち,今朝萩を切る,6.75,3.25,6.75,8.25,2.5,1,,,,,,,0,1,0,1,1,0,0,0,0
,,,,山本,8,7,7,7,2,1,,,,,,,,,,,,,,,
,,,,海原,7,1,4,10,6,1,,,,,,,,,,,,,,,
,,,,山下,7,2,8,9,1,1,,,,,,,,,,,,,,,
,,,,大氏,5,3,8,7,1,1,,,,,,,,,,,,,,,
真空の,パックに鋏を,入れし時,切り身は大きく,深呼吸なす,1.75,5.5,3,2.25,1.75,1,,,,,,,0,0,0,0,0,0,0,0,0
,,,,山本,2,4,3,3,3,1,,,,,,,,,,,,,,,
,,,,海原,3,8,2,2,1,1,,,,,,,,,,,,,,,
,,,,山下,1,9,3,1,1,1,,,,,,,,,,,,,,,
,,,,大氏,1,1,4,3,2,1,,,,,,,,,,,,,,,
「用務員,さんに挨拶を」,新任校へ,向かはむわれに,父はひとこと,4.25,3,5.75,3.75,2.75,1,,,,,,,1,1,1,0,1,0,0,0,0
,,,,山本,8,6,4,4,2,1,,,,,,,,,,,,,,,
,,,,海原,5,2,7,3,2,1,,,,,,,,,,,,,,,
,,,,山下,1,1,5,1,1,1,,,,,,,,,,,,,,,
,,,,大氏,3,3,7,7,6,1,,,,,,,,,,,,,,,
最期まで,一人称は『,ママ』なりき「,ママは幸せ,だつた」とわたしに,8.5,2.75,4.5,7,7.5,1,,,,,,,0,1,0,0,1,0,0,0,0
,,,,山本,10,7,5,7,2,1,,,,,,,,,,,,,,,
,,,,海原,8,1,3,2,9,1,,,,,,,,,,,,,,,
,,,,山下,8,1,2,10,9,1,,,,,,,,,,,,,,,
,,,,大氏,8,2,8,9,10,1,,,,,,,,,,,,,,,
隣室の,ラジオが聞こえて,くる夕べ,これから眠る,町がふくらむ,3.25,3.25,7,4.75,3,1,,,,,,,1,0,0,0,0,0,0,0,0
,,,,山本,8,8,5,5,2,1,,,,,,,,,,,,,,,
,,,,海原,2,2,8,4,4,1,,,,,,,,,,,,,,,
,,,,山下,2,1,7,3,2,1,,,,,,,,,,,,,,,
,,,,大氏,1,2,8,7,4,1,,,,,,,,,,,,,,,
口コミの,ぷーすけさんが,見た空を,私も見てる,賃貸の部屋,5,7.25,5.75,4.5,2,1,,,,,,,0,0,0,0,0,0,0,0,0
,,,,山本,7,9,4,2,1,1,,,,,,,,,,,,,,,
,,,,海原,4,5,5,2,1,1,,,,,,,,,,,,,,,
,,,,山下,3,9,7,6,1,1,,,,,,,,,,,,,,,
,,,,大氏,6,6,7,8,5,1,,,,,,,,,,,,,,,
野放図な,亡父だったけど,鮎食めば,皿に清しく,骨の一本,2.75,3.5,5,7.75,6,1,,,,,,,1,0,0,0,1,0,0,0,0
,,,,山本,5,10,4,3,1,1,,,,,,,,,,,,,,,
,,,,海原,2,1,3,9,5,1,,,,,,,,,,,,,,,
,,,,山下,1,1,4,9,9,1,,,,,,,,,,,,,,,
,,,,大氏,3,2,9,10,9,1,,,,,,,,,,,,,,,
とんぼにも,淋しきときの,あるらしく,立てたる指に,また来てとまる,6.5,5.75,6.75,4.75,2.25,1,,,,,,,1,0,0,0,0,0,0,1,0
,,,,山本,7,9,5,4,2,1,,,,,,,,,,,,,,,
,,,,海原,7,7,4,2,1,1,,,,,,,,,,,,,,,
,,,,山下,6,1,9,8,4,1,,,,,,,,,,,,,,,
,,,,大氏,6,6,9,5,2,1,,,,,,,,,,,,,,,
春の陽を,生け捕りにせむ,ベランダに,投網のごとく,シーツ干したり,4,7.25,6.25,3.75,1.25,1,,,,,,,1,0,0,0,0,0,0,0,0
,,,,山本,8,8,5,7,1,1,,,,,,,,,,,,,,,
,,,,海原,3,8,4,2,1,1,,,,,,,,,,,,,,,
,,,,山下,1,9,8,1,1,1,,,,,,,,,,,,,,,
,,,,大氏,4,4,8,5,2,1,,,,,,,,,,,,,,,
子の部屋の,四畳半に,間借りする,甕の梅干し,木箱の林檎,2.75,5.75,7.25,3.5,1.25,1,,,,,,,0,0,0,0,0,0,0,0,0
,,,,山本,6,7,6,5,1,1,,,,,,,,,,,,,,,
,,,,海原,3,4,8,3,1,1,,,,,,,,,,,,,,,
,,,,山下,1,6,8,1,1,1,,,,,,,,,,,,,,,
,,,,大氏,1,6,7,5,2,1,,,,,,,,,,,,,,,
電線の,影をいくつも,跳び越えて,海へと走る,わたしは夏だ,8.75,5,4,2.25,1,1,,,,,,,0,0,0,0,0,0,1,1,0
,,,,山本,9,9,5,2,1,1,,,,,,,,,,,,,,,
,,,,海原,8,2,3,1,1,1,,,,,,,,,,,,,,,
,,,,山下,10,4,2,1,1,1,,,,,,,,,,,,,,,
,,,,大氏,8,5,6,5,1,1,,,,,,,,,,,,,,,
夕暮れは,なぜかさびしい,身のうちの,ネアンデルタール,人がそう言う,1.25,5,3.75,7,9.75,1,,,,,,,0,0,0,0,0,0,0,1,0
,,,,山本,2,7,2,8,10,1,,,,,,,,,,,,,,,
,,,,海原,1,1,2,4,10,1,,,,,,,,,,,,,,,
,,,,山下,1,7,6,9,10,1,,,,,,,,,,,,,,,
,,,,大氏,1,5,5,7,9,1,,,,,,,,,,,,,,,
道端に,落としたような,カギ括弧,雨の降り方,少し気にして,1.25,4,5.75,5.5,3.5,1,,,,,,,1,0,0,0,0,0,0,1,0
,,,,山本,2,7,3,6,7,1,,,,,,,,,,,,,,,
,,,,海原,1,1,6,4,1,1,,,,,,,,,,,,,,,
,,,,山下,1,7,8,7,1,1,,,,,,,,,,,,,,,
,,,,大氏,1,1,6,5,5,1,,,,,,,,,,,,,,,
通勤の,無言片道,一時間,聞こえる音だけ,拾われている,1,3.5,3.75,5,6.5,1.75,,,,,,,1,0,0,0,0,0,0,0,0
,,,,山本,1,5,4,7,8,1,,,,,,,,,,,,,,,
,,,,海原,1,3,1,1,5,1,,,,,,,,,,,,,,,
,,,,山下,1,3,6,8,8,1,,,,,,,,,,,,,,,
,,,,大氏,1,3,4,4,5,4,,,,,,,,,,,,,,,
あの頃の,上司の歳,になってみて,思い出すのは,手帳の厚さ,2.75,2.75,4.5,8,2.5,1,,,,,,,0,0,1,0,0,0,0,0,0
,,,,山本,5,4,4,7,2,1,,,,,,,,,,,,,,,
,,,,海原,4,1,3,10,3,1,,,,,,,,,,,,,,,
,,,,山下,1,1,7,9,1,1,,,,,,,,,,,,,,,
,,,,大氏,1,5,4,6,4,1,,,,,,,,,,,,,,,
事務職と,いう年月が,頼りなく,思えた新刊,新書コーナー,1.5,2,3.5,5.75,4.5,3.25,,,,,,,0,0,1,0,0,0,0,0,0
,,,,山本,2,4,4,4,4,7,,,,,,,,,,,,,,,
,,,,海原,2,1,3,6,3,1,,,,,,,,,,,,,,,
,,,,山下,1,2,4,6,4,4,,,,,,,,,,,,,,,
,,,,大氏,1,1,3,7,7,1,,,,,,,,,,,,,,,
声高に,ＤＸが,語られた,経済雑誌を,棚へともどす,1.25,2.75,2.25,2.25,3.5,5,,,,,,,0,0,0,0,0,0,0,0,0
,,,,山本,2,3,2,2,2,7,,,,,,,,,,,,,,,
,,,,海原,1,3,2,2,2,5,,,,,,,,,,,,,,,
,,,,山下,1,1,3,3,6,3,,,,,,,,,,,,,,,
,,,,大氏,1,4,2,2,4,5,,,,,,,,,,,,,,,
報告書,メールで送り,そういえば,課長の筆跡,見たことがない,2.25,4.5,3.25,4.75,2.25,1,,,,,,,0,0,1,0,0,0,0,0,0
,,,,山本,6,8,2,5,2,1,,,,,,,,,,,,,,,
,,,,海原,1,2,2,5,1,1,,,,,,,,,,,,,,,
,,,,山下,1,1,6,7,3,1,,,,,,,,,,,,,,,
,,,,大氏,1,7,3,2,3,1,,,,,,,,,,,,,,,
