初句,二句,三句,四句,結句,感情:嬉しい,感情:面白い,感情:穏やか,感情:しみじみ,感情:寂しい,感情:怒り,初句の音節数,二句の音節数,三句の音節数,四句の音節数,五句の音節数,合計音節数,タグ:日常,タグ:人間関係,タグ:仕事,タグ:人生,タグ:家族,タグ:恋愛,タグ:旅行,タグ:自然,タグ:時事
海へ行く,みたいに自転車,こいでゆく,ドラッグストアにも,ちょっとある海,4.5,3.5,7.75,4.5,2,1,,,,,,,1,0,0,0,0,0,1,1,0
,,,,山本,6,7,6,6,1,1,,,,,,,,,,,,,,,
,,,,海原,5,2,8,3,2,1,,,,,,,,,,,,,,,
,,,,山下,4,3,9,2,1,1,,,,,,,,,,,,,,,
,,,,大氏,3,2,8,7,4,1,,,,,,,,,,,,,,,
あきまへん、,大型店に,囲まれて,店を閉じます、,親父よ御免,1,3.75,1.5,5.25,8.75,6,,,,,,,0,0,1,0,0,0,0,0,0
,,,,山本,1,1,1,3,7,7,,,,,,,,,,,,,,,
,,,,海原,1,1,2,6,10,8,,,,,,,,,,,,,,,
,,,,山下,1,3,2,6,9,1,,,,,,,,,,,,,,,
,,,,大氏,1,10,1,6,9,8,,,,,,,,,,,,,,,
玄関を,閉めた閉めない,閉めたはず,動詞活用,みたいな朝,2.25,9,3.75,1.75,1,2.75,,,,,,,1,0,0,0,0,0,0,0,0
,,,,山本,3,9,1,1,1,6,,,,,,,,,,,,,,,
,,,,海原,3,7,4,1,1,1,,,,,,,,,,,,,,,
,,,,山下,1,10,3,1,1,1,,,,,,,,,,,,,,,
,,,,大氏,2,10,7,4,1,3,,,,,,,,,,,,,,,
再婚の,意味を知る子と,知らぬ子が,砂のトンネル,開通させる,2.75,7,2.75,3.5,1,1,,,,,,,1,1,0,0,1,0,0,0,0
,,,,山本,1,8,1,1,1,1,,,,,,,,,,,,,,,
,,,,海原,6,4,2,2,1,1,,,,,,,,,,,,,,,
,,,,山下,3,8,4,7,1,1,,,,,,,,,,,,,,,
,,,,大氏,1,8,4,4,1,1,,,,,,,,,,,,,,,
嫁ぐ朝,父にもらいし,花鋏,五十年たち,今朝萩を切る,6.75,3.25,6.75,8.25,2.5,1,,,,,,,0,1,0,1,1,0,0,0,0
,,,,山本,8,7,7,7,2,1,,,,,,,,,,,,,,,
,,,,海原,7,1,4,10,6,1,,,,,,,,,,,,,,,
,,,,山下,7,2,8,9,1,1,,,,,,,,,,,,,,,
,,,,大氏,5,3,8,7,1,1,,,,,,,,,,,,,,,
真空の,パックに鋏を,入れし時,切り身は大きく,深呼吸なす,1.75,5.5,3,2.25,1.75,1,,,,,,,0,0,0,0,0,0,0,0,0
,,,,山本,2,4,3,3,3,1,,,,,,,,,,,,,,,
,,,,海原,3,8,2,2,1,1,,,,,,,,,,,,,,,
,,,,山下,1,9,3,1,1,1,,,,,,,,,,,,,,,
,,,,大氏,1,1,4,3,2,1,,,,,,,,,,,,,,,
「用務員,さんに挨拶を」,新任校へ,向かはむわれに,父はひとこと,4.25,3,5.75,3.75,2.75,1,,,,,,,1,1,1,0,1,0,0,0,0
,,,,山本,8,6,4,4,2,1,,,,,,,,,,,,,,,
,,,,海原,5,2,7,3,2,1,,,,,,,,,,,,,,,
,,,,山下,1,1,5,1,1,1,,,,,,,,,,,,,,,
,,,,大氏,3,3,7,7,6,1,,,,,,,,,,,,,,,
最期まで,一人称は『,ママ』なりき「,ママは幸せ,だつた」とわたしに,8.5,2.75,4.5,7,7.5,1,,,,,,,0,1,0,0,1,0,0,0,0
,,,,山本,10,7,5,7,2,1,,,,,,,,,,,,,,,
,,,,海原,8,1,3,2,9,1,,,,,,,,,,,,,,,
,,,,山下,8,1,2,10,9,1,,,,,,,,,,,,,,,
,,,,大氏,8,2,8,9,10,1,,,,,,,,,,,,,,,
隣室の,ラジオが聞こえて,くる夕べ,これから眠る,町がふくらむ,3.25,3.25,7,4.75,3,1,,,,,,,1,0,0,0,0,0,0,0,0
,,,,山本,8,8,5,5,2,1,,,,,,,,,,,,,,,
,,,,海原,2,2,8,4,4,1,,,,,,,,,,,,,,,
,,,,山下,2,1,7,3,2,1,,,,,,,,,,,,,,,
,,,,大氏,1,2,8,7,4,1,,,,,,,,,,,,,,,
口コミの,ぷーすけさんが,見た空を,私も見てる,賃貸の部屋,5,7.25,5.75,4.5,2,1,,,,,,,0,0,0,0,0,0,0,0,0
,,,,山本,7,9,4,2,1,1,,,,,,,,,,,,,,,
,,,,海原,4,5,5,2,1,1,,,,,,,,,,,,,,,
,,,,山下,3,9,7,6,1,1,,,,,,,,,,,,,,,
,,,,大氏,6,6,7,8,5,1,,,,,,,,,,,,,,,
野放図な,亡父だったけど,鮎食めば,皿に清しく,骨の一本,2.75,3.5,5,7.75,6,1,,,,,,,1,0,0,0,1,0,0,0,0
,,,,山本,5,10,4,3,1,1,,,,,,,,,,,,,,,
,,,,海原,2,1,3,9,5,1,,,,,,,,,,,,,,,
,,,,山下,1,1,4,9,9,1,,,,,,,,,,,,,,,
,,,,大氏,3,2,9,10,9,1,,,,,,,,,,,,,,,
とんぼにも,淋しきときの,あるらしく,立てたる指に,また来てとまる,6.5,5.75,6.75,4.75,2.25,1,,,,,,,1,0,0,0,0,0,0,1,0
,,,,山本,7,9,5,4,2,1,,,,,,,,,,,,,,,
,,,,海原,7,7,4,2,1,1,,,,,,,,,,,,,,,
,,,,山下,6,1,9,8,4,1,,,,,,,,,,,,,,,
,,,,大氏,6,6,9,5,2,1,,,,,,,,,,,,,,,
春の陽を,生け捕りにせむ,ベランダに,投網のごとく,シーツ干したり,4,7.25,6.25,3.75,1.25,1,,,,,,,1,0,0,0,0,0,0,0,0
,,,,山本,8,8,5,7,1,1,,,,,,,,,,,,,,,
,,,,海原,3,8,4,2,1,1,,,,,,,,,,,,,,,
,,,,山下,1,9,8,1,1,1,,,,,,,,,,,,,,,
,,,,大氏,4,4,8,5,2,1,,,,,,,,,,,,,,,
子の部屋の,四畳半に,間借りする,甕の梅干し,木箱の林檎,2.75,5.75,7.25,3.5,1.25,1,,,,,,,0,0,0,0,0,0,0,0,0
,,,,山本,6,7,6,5,1,1,,,,,,,,,,,,,,,
,,,,海原,3,4,8,3,1,1,,,,,,,,,,,,,,,
,,,,山下,1,6,8,1,1,1,,,,,,,,,,,,,,,
,,,,大氏,1,6,7,5,2,1,,,,,,,,,,,,,,,
電線の,影をいくつも,跳び越えて,海へと走る,わたしは夏だ,8.75,5,4,2.25,1,1,,,,,,,0,0,0,0,0,0,1,1,0
,,,,山本,9,9,5,2,1,1,,,,,,,,,,,,,,,
,,,,海原,8,2,3,1,1,1,,,,,,,,,,,,,,,
,,,,山下,10,4,2,1,1,1,,,,,,,,,,,,,,,
,,,,大氏,8,5,6,5,1,1,,,,,,,,,,,,,,,
夕暮れは,なぜかさびしい,身のうちの,ネアンデルタール,人がそう言う,1.25,5,3.75,7,9.75,1,,,,,,,0,0,0,0,0,0,0,1,0
,,,,山本,2,7,2,8,10,1,,,,,,,,,,,,,,,
,,,,海原,1,1,2,4,10,1,,,,,,,,,,,,,,,
,,,,山下,1,7,6,9,10,1,,,,,,,,,,,,,,,
,,,,大氏,1,5,5,7,9,1,,,,,,,,,,,,,,,
道端に,落としたような,カギ括弧,雨の降り方,少し気にして,1.25,4,5.75,5.5,3.5,1,,,,,,,1,0,0,0,0,0,0,1,0
,,,,山本,2,7,3,6,7,1,,,,,,,,,,,,,,,
,,,,海原,1,1,6,4,1,1,,,,,,,,,,,,,,,
,,,,山下,1,7,8,7,1,1,,,,,,,,,,,,,,,
,,,,大氏,1,1,6,5,5,1,,,,,,,,,,,,,,,
通勤の,無言片道,一時間,聞こえる音だけ,拾われている,1,3.5,3.75,5,6.5,1.75,,,,,,,1,0,0,0,0,0,0,0,0
,,,,山本,1,5,4,7,8,1,,,,,,,,,,,,,,,
,,,,海原,1,3,1,1,5,1,,,,,,,,,,,,,,,
,,,,山下,1,3,6,8,8,1,,,,,,,,,,,,,,,
,,,,大氏,1,3,4,4,5,4,,,,,,,,,,,,,,,
あの頃の,上司の歳,になってみて,思い出すのは,手帳の厚さ,2.75,2.75,4.5,8,2.5,1,,,,,,,0,0,1,0,0,0,0,0,0
,,,,山本,5,4,4,7,2,1,,,,,,,,,,,,,,,
,,,,海原,4,1,3,10,3,1,,,,,,,,,,,,,,,
,,,,山下,1,1,7,9,1,1,,,,,,,,,,,,,,,
,,,,大氏,1,5,4,6,4,1,,,,,,,,,,,,,,,
事務職と,いう年月が,頼りなく,思えた新刊,新書コーナー,1.5,2,3.5,5.75,4.5,3.25,,,,,,,0,0,1,0,0,0,0,0,0
,,,,山本,2,4,4,4,4,7,,,,,,,,,,,,,,,
,,,,海原,2,1,3,6,3,1,,,,,,,,,,,,,,,
,,,,山下,1,2,4,6,4,4,,,,,,,,,,,,,,,
,,,,大氏,1,1,3,7,7,1,,,,,,,,,,,,,,,
声高に,ＤＸが,語られた,経済雑誌を,棚へともどす,1.25,2.75,2.25,2.25,3.5,5,,,,,,,0,0,0,0,0,0,0,0,0
,,,,山本,2,3,2,2,2,7,,,,,,,,,,,,,,,
,,,,海原,1,3,2,2,2,5,,,,,,,,,,,,,,,
,,,,山下,1,1,3,3,6,3,,,,,,,,,,,,,,,
,,,,大氏,1,4,2,2,4,5,,,,,,,,,,,,,,,
報告書,メールで送り,そういえば,課長の筆跡,見たことがない,2.25,4.5,3.25,4.75,2.25,1,,,,,,,0,0,1,0,0,0,0,0,0
,,,,山本,6,8,2,5,2,1,,,,,,,,,,,,,,,
,,,,海原,1,2,2,5,1,1,,,,,,,,,,,,,,,
,,,,山下,1,1,6,7,3,1,,,,,,,,,,,,,,,
,,,,大氏,1,7,3,2,3,1,,,,,,,,,,,,,,,
近頃は,電子契約,増えており,押印逆さに,した日は遠く,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
税額を,確認しては,貼っていた,一万円の,収入印紙,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
転勤も,異動もあった,これまでに,積んだスキルを,見せてください,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
書架にある,古い文書を,開くたび,手書きの文字が,息をしている,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
クリップの,形のままに,錆がつき,平成一桁,稟議書捨てる,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
朱の色は,時間をかけて,淡くなり,書類にならぶ,印影をよむ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
リスキリング,予算一兆,円という,ななめ読みして,研ぐ米二合,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
涼やかな,青空出社の,足元は,白のオニツカ,タイガーにする,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
田子の浦に,うちいでて見れば,白妙の,富士の高嶺に,雪はふりつつ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
天の原,富士のけぶりの,春の色の,霞になびく,あけぼのの空,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
道すがら,富士のけぶりも,わかざりき,晴るる間もなき,空のけしきに,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
しるしなき,けぶりを雲に,まがへつつ,夜を経て富士の,山と燃えなむ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
けぶり立つ,思ひならねど,人しれず,わびては富士の,ねをのみぞ泣く,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
富士の嶺の,煙もなほぞ,立ちのぼる,うへなきものは,おもひなりけり,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
世の中を,心たかくも,いとふかな,富士のけぶりを,身の思ひにて,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
風になびく,富士の煙の,空に消えて,行方もしらぬ,わが思かな,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
時知らぬ,山は富士の嶺,いつとてか,鹿の子まだらに,雪の降るらむ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
見わたせば,雲居はるかに,雪白し,富士の高嶺の,あけぼのの空,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
ここからは,富士が見えなくて,さびしいと,わたしがいるのに,妻がつぶやく,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
富士山は,背中を押して,くれました,職なきときも,離職のときも,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
人間は,ちっぽけなものだと,五合目で,言うな父さん,富士山顔で,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
参考書,開くその手は,そのままに,車窓の富士に,誓う合格,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
江戸川に,富士を見にゆく,何もかも,リセットしてし,まいたくなるとき,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
山のなか,小さくなってく,友の背と,大きくなった,蝉の鳴き声,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
念願の,あの頂に,立つために,富士を横目に,今日も漕ぎ抜く,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
富士山の,晴れたる夜は,山小屋の,明り点々,空へと続く,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
大きいな,とても大きい,大きいぜ,こんな器に,私はなりたい,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
教室の,窓の向こうに,見える富士,履修の日々が,離愁に変わる,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
地面蹴り,目指すはゴール,一番に,明日で引退,悔いはない,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
自己ベスト,記録更新,目標に,今日も頑張る,全力疾走,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
打席立つ,相手を睨み,白球を,投げては伝う,大粒の汗,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
ベンチから,声援おくる,後輩に,野球部の夏,過ぎていく,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
おかしいぞ,ボール蹴り上げ,早3年,モテると聞いて,入部したのに,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
青空と,吐く息白い,運動場,ボール追いかけ,ホイッスル鳴る,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
球拾い,早くはきたい,憧れの,スコート夢見て,毎日努力,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
漫画読み,はじめたテニス,楽しくて,今ではハマリ,目指せ優勝,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
合奏中,一人で吹いて,講師言う,ホルン持ち上げ,緊張の一音,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
コンクール,ゴールド金賞,聞きたくて,休日返上,今日も練習,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
歌声が,混じり奏でる,ハーモニー,目指すは優勝,最後の舞台,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
合唱部,花粉大敵,声変わる,完全防備,クシャミを一つ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
静けさに,届けと祈る,私の気持ち,君のボール,リングに入る,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
ダンダンと,鳴り響く音,体育館,暑さに負けず,汗拭う俺,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
一本を,とるため己,鍛え抜く,防具を脱いで,涼やかな顔,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
,,,,山本,,,,,,,,,,,,,,,,,,,,,
,,,,海原,,,,,,,,,,,,,,,,,,,,,
,,,,山下,,,,,,,,,,,,,,,,,,,,,
,,,,大氏,,,,,,,,,,,,,,,,,,,,,
間を読んで,一触即発,ズイズイと,こわばる空気,剣で切り裂く,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
